0,CountryName,Date,C1_School closing,C1_Flag_1,C1_Flag_2,C2_Workplace closing,C2_Flag_1,C2_Flag_2,C3_Cancel public events,C3_Flag_1,C3_Flag_2,C4_Restrictions on gatherings,C4_Flag_1,C4_Flag_2,C5_Close public transport,C5_Flag_1,C5_Flag_2,C6_Stay at home requirements,C6_Flag_1,C6_Flag_2,C7_Restrictions on internal movement,C7_Flag_1,C7_Flag_2,E1_Income support,E1_Flag_1,E1_Flag_2,ConfirmedCases,ConfirmedDeaths,StringencyIndex
6559,Germany,5/19/2020,2,,0,2,0,,2,1,,4,1,,0,,,0,,,0,,,2,0,,177778,8081,52.78
6560,Germany,5/20/2020,2,,0,2,0,,2,1,,4,1,,0,,,0,,,0,,,2,0,,178473,8144,52.78
6561,Germany,5/21/2020,2,,0,2,0,,2,1,,4,1,,0,,,0,,,0,,,2,0,,179021,8203,52.78
6562,Germany,5/22/2020,2,,0,2,0,,2,1,,4,1,,0,,,0,,,0,,,2,0,,179710,8228,52.78
6563,Germany,5/23/2020,2,,0,2,0,,2,1,,4,1,,0,,,0,,,0,,,2,0,,179986,8261,52.78
6564,Germany,5/24/2020,2,,0,2,0,,2,1,,4,1,,0,,,0,,,0,,,2,0,,180328,8283,52.78
6565,Germany,5/25/2020,2,,0,2,0,,2,1,,3,1,,0,,,0,,,0,,,2,0,,180600,8309,50
6566,Germany,5/26/2020,2,,0,2,0,,2,1,,3,1,,0,,,0,,,0,,,2,0,,181200,8372,50
6567,Germany,5/27/2020,2,,0,2,0,,2,1,,3,1,,0,,,0,,,0,,,2,0,,181524,8428,50
6568,Germany,5/28/2020,2,,0,2,0,,2,1,,3,1,,0,,,0,,,0,,,2,0,,182196,8470,50
6569,Germany,5/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,182922,8504,
6570,Germany,5/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,183189,8530,
6571,Germany,5/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,183410,8540,
11007,India,1/1/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11008,India,1/2/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11009,India,1/3/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11010,India,1/4/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11011,India,1/5/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11012,India,1/6/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11013,India,1/7/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11014,India,1/8/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11015,India,1/9/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11016,India,1/10/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11017,India,1/11/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11018,India,1/12/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11019,India,1/13/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11020,India,1/14/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11021,India,1/15/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11022,India,1/16/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11023,India,1/17/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11024,India,1/18/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11025,India,1/19/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11026,India,1/20/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11027,India,1/21/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11028,India,1/22/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11029,India,1/23/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
11030,India,1/24/2020,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0
